Srno,TranslatedRecipeName,Cuisine,Course,Diet,Average_Resell_Price
3796, Punjabi Chana Masala (Recipe In Hindi),Punjabi,Main Course,High Protein Vegetarian,110
3797,One Pot Vegetable Pasta With Beans Recipe,Italian Recipes,Dinner,High Protein Vegetarian,165
3798,Khurchan Mawa Burfi Recipe,Indian,Dessert,Vegetarian,50
3800,Chocolate Salami Recipe (Salame Al Cioccolato),Italian Recipes,Dessert,Vegetarian,50
3802,Kakrar Jhal (Bengali Crab Korma Recipe),Bengali Recipes,Lunch,High Protein Non Vegetarian,94
3803,Goan Batata Recheado Recipe With Carrots & Beans,Goan Recipes,Side Dish,Vegetarian,20
3805,Assamese Amitar Khar Recipe,Assamese,Side Dish,Vegetarian,20
3806,Onion Vegetable Recipe,North Indian Recipes,Lunch,Vegetarian,70
3807,Avarakkai Poricha Kootu Recipe - Broad Beans Kootu Recipe,Tamil Nadu,Side Dish,Vegetarian,20
3810,Dal Banjara Recipe - Dal Banjara Recipe,North Indian Recipes,Lunch,High Protein Vegetarian,77
3813,Manjal Poosanikai Sambar Recipe (Yellow Pumpkin in Toor Dal Recipe),South Indian Recipes,Lunch,High Protein Vegetarian,77
3814,Bean Spinach And Corn Quesadilla Recipe,Mexican,Dinner,Vegetarian,150
3815,Gil-E-Firdaus Recipe (Kesar Phirni),Hyderabadi,Dessert,Vegetarian,50
3816,Asian Style Sweet Potato Croquettes Recipe,Asian,Appetizer,Vegetarian,50
3819,Bihari Karela and Potato Vegetable Recipe - Bihari Karela and Aloo Ki Subzi (Recipe In Hindi),Bihari,Side Dish,Diabetic Friendly,23
3820,Sweet Potato & Rosemary Crisps/ Chips,Snack,Vegetarian,Diabetic Friendly,51
3822,Uttarakhand Style Singhal Recipe,North Indian Recipes,Snack,Vegetarian,30
3823,BaNilla Sandwich Cookie Recipe,Continental,Snack,Vegetarian,30
3825,Indian Style Beetroot Soup Recipe,Indian,Dinner,Vegetarian,150
3826,"Oats, Cranberry And Walnut Bread Recipe",Continental,Snack,Eggetarian,34
3827,Golden Glow Smoothie Recipe,Continental,World Breakfast,Vegan,46
3828, Punjabi Style Arbi (Recipe In Hindi),Punjabi,Lunch,Vegetarian,70
3830,Jhunka Vadi Recipe - North Karnataka/Maharashtrian Speciality,Maharashtrian Recipes,Snack,Vegetarian,30
3831,Chana Kanghou Recipe - Manipuri Style Kala Chana Sabzi,North East India Recipes,Lunch,Vegetarian,70
3832,Kerala Style Banana Dosa Recipe,Kerala Recipes,Dessert,Vegetarian,50
3833,Khandeshi Sev Bhaji Recipe,Maharashtrian Recipes,Lunch,Vegetarian,70
3834,Methi Mushroom Masala Recipe,North Indian Recipes,Lunch,Vegetarian,70
3835,Spinach and Moong Dal Pakodas Recipe,North Indian Recipes,Snack,High Protein Vegetarian,33
3836,Milagu Sadam Recipe (Instant Pepper Rice),South Indian Recipes,Lunch,Vegetarian,70
3838, Aval Upma Recipe,South Indian Recipes,South Indian Breakfast,Vegetarian,40
3839,Gulkand Panna Cotta Recipe with Strawberry Sauce,Fusion,Dessert,Vegetarian,50
3840,Masala Khichia Recipe (Spicy Corn Flour Papad),Rajasthani,Appetizer,Vegetarian,50
3841,Creamy Roasted Pumpkin Risotto Recipe,European,Dinner,Vegetarian,150
3842,Grilled Basil Pesto Chicken Sub Sandwich Recipe,Continental,Main Course,Non Vegeterian,125
3843,Simple Peruvian (Mayocoba) Beans Salad Recipe,Continental,Appetizer,High Protein Vegetarian,55
3845,Mexican Low Fat Fish Wraps Recipe,Mexican,Lunch,Non Vegeterian,87
3846,Phalguni Dal Recipe - Bengali Style Red Lentils With Fresh Green Peas,Bengali Recipes,Lunch,High Protein Vegetarian,77
3847,Sanjori Bread Recipe (Maharashtrian Sweet Flatbread Stuffed with Halwa),Maharashtrian Recipes,Dessert,Vegetarian,50
3848,Creamy Mango Kulfi Recipe With Cream Cheese,Indian,Dessert,Vegetarian,50
3850,Mushroom And Bok Choy Stir Fry Recipe,Asian,Side Dish,Vegetarian,20
3851,Corn And Onion Raita Recipe,Indian,Side Dish,Vegetarian,20
3853,Achari Aloo Parwal Sabzi Recipe (Pointed Gourd And Potato Stir Fry In Pickle Spices),North Indian Recipes,Lunch,Vegetarian,70
3855,Pan Fried Avocado Kofta Recipe,Indian,Snack,Vegetarian,30
3856,Cinnamon Spiced Orange Iced Tea Recipe,Continental,Snack,Vegetarian,30
3857,Punjabi Sabut Moong Ki Dal Recipe (Whole Green Lentils Cooked With Punjabi Spices),North Indian Recipes,Lunch,High Protein Vegetarian,77
3861, Quinoa Vangi Bath Recipe,Indian,Lunch,Vegetarian,70
3862,Kali Mirch Aloo Bhindi Sabzi - Aloo Bhindi Pepper Fry Recipe,North Indian Recipes,Lunch,Vegetarian,70
3863,Kolkata Style Vegetable Chop Recipe,Bengali Recipes,Snack,Vegetarian,30
3864,Creamy Chicken Pesto Spaghetti Pasta Recipe,Italian Recipes,Dinner,High Protein Non Vegetarian,202
3865,Sesame Potato Toast Recipe,Continental,Snack,Vegetarian,30
3866,Andhra Pepper Chicken Recipe,Andhra,Side Dish,Non Vegeterian,25
3867,"Cabbage, Bell Pepper and Apples with Sriracha Slaw Recipe ",Continental,Appetizer,Vegetarian,50
3868,Hash Browns With Chives Recipe,Continental,World Breakfast,Eggetarian,46
3869,Khatti Meethi Lauki Dal Recipe - Sweet & Spicy Bottle Gourd Dal,North Indian Recipes,Dinner,Vegetarian,150
3872,Orange Zested Shortbread Cookie Recipe (Egg Free/Eggless),Continental,Snack,Vegetarian,30
3873,Bihari Bitter Gourd Potato Vegetable Recipe,Bihari,Lunch,Diabetic Friendly,80
3874,Peerkangai Thogayal Recipe - Peerkangai Thogayal Recipe,South Indian Recipes,Side Dish,Vegetarian,20
3875,Beetroot Moong Phali Sabzi Recipe-Beetroot Stir Fry with Roasted Peanuts,North Indian Recipes,Side Dish,Vegetarian,20
3876,"Chickpea Salad with Cherry Tomatoes,Olives and Capsicum Recipe",Mediterranean,Appetizer,High Protein Vegetarian,55
3878,Sindhi Tahiri Recipe - Sindhi Style Sweet Rice,Sindhi,Main Course,Vegetarian,100
3880,Vegetable Rice Upma Recipe,South Indian Recipes,South Indian Breakfast,Gluten Free,48
3881,Parsi Brinjal Capsicum Vegetable Recipe - Parsi Style Baingan Capsicum Ka Salan (Recipe In Hindi),Parsi Recipes,Lunch,Vegetarian,70
3882,Traditional Bihari Litti Chokha Recipe,Bihari,Lunch,Vegetarian,70
3887,Egg and Ridge Gourd Burji Recipe,South Indian Recipes,Lunch,Eggetarian,80
3888,Mini Idli Upma Recipe - Mini Idli Upma Recipe,South Indian Recipes,South Indian Breakfast,Vegetarian,40
3889,Garlic Knot Recipe,Fusion,Snack,Vegetarian,30
3890,Paya Curry Recipe | Lamb Trotters,South Indian Recipes,Side Dish,Non Vegeterian,25
3891,Andhra Dondakaya Chutney Recipe - Tindora Chutney,Andhra,Side Dish,Vegetarian,20
3892,Murungai Keerai Masala Vadai Recipe,South Indian Recipes,Snack,Vegetarian,30
3893,Dhaba Style Country Chicken Recipe,North Indian Recipes,Lunch,High Protein Non Vegetarian,94
3894,3 Beans Stuffed Quesadillas Recipe,Mexican,Lunch,High Protein Vegetarian,77
3897,Quick Indian Style Ginger Pickle Recipe,Indian,Side Dish,Vegetarian,20
3899,Spicy And Tangy Bread Upma Recipe,South Indian Recipes,South Indian Breakfast,Vegetarian,40
3900,Shrimp Sambal Recipe,Malaysian,Lunch,High Protein Non Vegetarian,94
3902,Mini Potato Cheesy Au Gratin Recipe,French,Lunch,Vegetarian,70
3904,Mango Popsicle Recipe,Continental,Dessert,Vegetarian,50
3905,Karwar NKGSB Style Bharli Vangi Recipe - Brinjal Curry,Karnataka,Lunch,Vegetarian,70
3906,Soto Ayam Recipe - Indonesian Chicken Noodle Meal bowl,Indonesian,Main Course,High Protein Non Vegetarian,135
3907,Vegetarian Tofu Matzo Ball Soup Recipe,Jewish,Dinner,Vegetarian,150
3908,Chettinad Mixed Bean Adai Recipe,South Indian Recipes,South Indian Breakfast,High Protein Vegetarian,44
3909,Restaurant Style Paneer Lababdar Recipe,North Indian Recipes,Dinner,High Protein Vegetarian,165
3911,Chocolate And Salted Caramel Tart Recipe,Continental,Dessert,Vegetarian,50
3915,Jeera Hing Aloo Recipe - No Onion No Garlic Recipe,Indian,Lunch,Vegetarian,70
3916,Cheesy Potatoes Recipe,Indian,Appetizer,Vegetarian,50
3918, Sesame Peanut Potato (Recipe In Hindi),Indian,Lunch,Vegetarian,70
3920, Potato Sagu Recipe,South Indian Recipes,South Indian Breakfast,Vegetarian,40
3921,Kerala Mutton Roast Recipe - Kerala Mutton Masala,Kerala Recipes,Main Course,Non Vegeterian,125
3922,Horlicks Cookies Recipe,Continental,Snack,Vegetarian,30
3924,Watermelon And Corn Salad Recipe - A Refreshing Summer Salad,Continental,Appetizer,Vegetarian,50
3926,Pata Gobi Aur Kele Kofta Curry Recipe - No onion No Garlic,North Indian Recipes,Lunch,No Onion No Garlic (Sattvic),70
3927,Tuna Roasted Mushroom Sandwich Recipe with Tartare Dip Mayo,Continental,World Breakfast,No Onion No Garlic (Sattvic),40
3928,Dark Chocolate Cherry Cake Recipe,Continental,World Breakfast,No Onion No Garlic (Sattvic),40
3929,Sago Khichdi Recipe (Savory Tapioca Pearls Stir Fry),Indian,Dinner,Vegetarian,150
3933, Lauki Moongphali Soup (Recipe In Hindi),Indian,Side Dish,Vegetarian,20
3934, Whole Wheat Onion Stuffed Kulcha Recipe,North Indian Recipes,Dinner,Vegetarian,150
3935,Whole Wheat Palak Naan Recipe,North Indian Recipes,Dinner,High Protein Vegetarian,165
3936,"Mizoram Inspired Veg Sawhchiar Recipe-Rice Pilaf With Kashmiri Red Chillies, Bay Leaf and Paneer",North East India Recipes,Main Course,Vegetarian,100
3939, Palak Chole (Recipe In Hindi),North Indian Recipes,Lunch,High Protein Vegetarian,77
3942,Khakara Vegetable Pizza Recipe,Indian,Snack,Vegetarian,30
3943,Tri Color Rotini Spirali Pasta Recipe Tossed in Creamy Basil Sauce,Italian Recipes,Dinner,Vegetarian,150
3947,Spinach Omelette Recipe,Continental,World Breakfast,Eggetarian,46
3949,Spinach And Feta Cheese Rotolo Recipe,Italian Recipes,Main Course,Vegetarian,100
3951,Cheesy Loaded Veggie Nachos Recipes,Mexican,Appetizer,Vegetarian,50
3952,Maharashtrian Anarsa Recipe,Maharashtrian Recipes,Snack,Vegetarian,30
3955,Lal Mathachi Bhaji Recipe - Amaranth Leaves Moong Sprouts Sabzi,Maharashtrian Recipes,Lunch,Diabetic Friendly,80
3956,Cinnamon Rice Pudding With Cherry Compote Recipe,Continental,Dessert,Vegetarian,50
3957, Aloo Parwal Sabzi (Recipe In Hindi),Indian,Lunch,Vegetarian,70
3958,Mixed Flour And Spring Onion Cheela Recipe,Indian,Indian Breakfast,Vegetarian,25
3960, Paneer in Yogurt Tomato Curry (Recipe In Hindi),Kashmiri,Lunch,Vegetarian,70
3962,No Cream Healthy Broccoli Pasta Recipe,Italian Recipes,Dinner,Vegetarian,150
3963,Crepes Stuffed With Caramelized Banana Recipe,Continental,Dessert,Vegetarian,50
3964,Spinach Buns Recipe (Masala Palak Pav),Indian,Side Dish,Vegetarian,20
3965,Garlic & Ginger Spiced Potato Wedges Recipe (Baked),Continental,Snack,Vegetarian,30
3966,Methi Dana Sabzi Recipe - Healthy Fenugreek Seeds Stir Fry,Rajasthani,Side Dish,Vegetarian,20
3967, Safed Achari Baingan (Recipe In Hindi),Indian,Dinner,Vegetarian,150
3968,Burmese Samosa Soup Recipe,Burmese,Lunch,Vegetarian,70
3969,Honey Sesame Chilli Potato Recipe - Indian Chinese Chilli Potato,Chinese,Appetizer,Vegetarian,50
3973,Apricot Muesli Coffee Slice Recipe,Continental,Snack,Eggetarian,34
3974,Banana Yogurt and Walnut Smoothie Recipe,Continental,World Breakfast,Vegetarian,40
3975,Himachali Pahari Auriya Kaddu Recipe - Himachali Tangy Pumpkin Sabzi,Himachal,Lunch,Vegetarian,70
3977,Goan Style Khatkhatem Recipe (Mixed Vegetable Gravy),Goan Recipes,One Pot Dish,Vegetarian,55
3978,Mango Milkshake Recipe - Mango Smoothie,Continental,Snack,Vegetarian,30
3979,Strawberry Salad Recipe,Continental,Dinner,Vegetarian,150
3981,Moong Dal Palak Cheela Recipe (Yellow Lentil And Spinach Crepes),Indian,North Indian Breakfast,High Protein Vegetarian,38
3982,One Pot Vangi Bath Recipe Using Preethi Electric Pressure Cooker (Brinjal Rice),South Karnataka,Lunch,Vegetarian,70
3983,Sakkaravalli Kizhangu Poriyal Recipe - Spicy Sweet Potato Roast,Chettinad,Lunch,Vegetarian,70
3984,Gulab Phirni Recipe,Indian,Dessert,Vegetarian,50
3985,Malai Matar Paneer Recipe (Cottage Cheese & Peas In Rich Creamy Gravy),North Indian Recipes,Dinner,High Protein Vegetarian,165
3986,Aloo & Nariyal Ki Kachori Recipe (Pan Fried Farali Aloo Vada),North Indian Recipes,Snack,Vegetarian,30
3987,Egg Shoap Recipe | Assamese Appetizer,Assamese,Appetizer,Eggetarian,57
3988,Indian Style Tapenade Recipe,Indian,Snack,High Protein Vegetarian,33
3989,Oats Banana And Apple Porridge Recipe For Babies And Toddlers,Indian,Lunch,Vegetarian,70
3991,Bengali Luchi Recipe - Bengali Softa Maida Puffed Puri,Bengali Recipes,Lunch,Vegetarian,70
3992,Andhra Avakaya Recipe - Spicy Raw Mango Pickle Recipe,Andhra,Side Dish,Vegetarian,20
3993, Chettinad Style Pepper Mushroom (Recipe In Hindi),Chettinad,Lunch,Vegetarian,70
3994,Brahmin Style Vegetable Kurma Recipe,South Indian Recipes,Lunch,No Onion No Garlic (Sattvic),70
3995,Dahi Vada With Sweet & Spicy Chutney Recipe,South Indian Recipes,Snack,Vegetarian,30
3997,Ragi Murukku And Kodubale Recipe -Chakli And Kodubale,South Indian Recipes,Snack,Vegetarian,30
3998,Spinach Paneer Kofta Curry Recipe,North Indian Recipes,Lunch,High Protein Vegetarian,77
3999,Thenkuzhal Murukku Recipe - South Indian Snack,Tamil Nadu,Snack,Vegetarian,30
4000,Green Tomato Vegetable Recipe - Raw Tomato Curry,Indian,Lunch,Vegan,80
4001,Pineapple And Semolina Sheera Recipe,North Indian Recipes,Dessert,Vegetarian,50
4002,Chicken Meatballs In A Makhni Gravy Recipe,North Indian Recipes,Main Course,Non Vegeterian,125
4003,Whole Green Onion Recipe - Hare Pyaaz Ki Puri Recipe,Indian,Dinner,Vegetarian,150
4005, Makki Paneer Pakora Recipe,Indian,Snack,Vegetarian,30
4006,Avarekalu Kadubu Recipe (Hyacinth Beans Steamed Dumplings),Karnataka,South Indian Breakfast,Vegetarian,40
4007,Chocolate Peda Recipe,Indian,Dessert,Vegetarian,50
4009,Zucchini Salad with Barbecue Sauce Dressing Recipe,Continental,Appetizer,Vegetarian,50
4010,Barnyard Millet Sweet Pongal Recipe (Kuthiraivali Sakkarai Pongal),South Indian Recipes,South Indian Breakfast,Vegetarian,40
4012,Lebanese Style Baked Chicken and Potatoes Recipe,Mediterranean,Main Course,Non Vegeterian,125
4013, Neem Flower Rasam (Recipe In Hindi),South Indian Recipes,Lunch,Vegetarian,70
4014,Kara Sevai Recipe (Lemon Vermicelli),Indian,Lunch,Vegetarian,70
4015,"Summer Lettuce Salad with Cucumber, Tomato & Feta Recipe",Continental,Side Dish,Vegetarian,20
4017,Methi Thalipeeth Recipe (Fresh Fenugreek Leaves Flat Bread),Maharashtrian Recipes,North Indian Breakfast,Vegetarian,35
4020,Nepalese Chicken Sekuwa Recipe,Nepalese,Appetizer,Non Vegeterian,62
4021,Dry Methi Malai Matar Recipe - Dry Methi Malai Matar (Recipe),North Indian Recipes,Dinner,Vegetarian,150
4023,Khatua Recipe (Bhojpuri Style Khichdi),Bihari,Dinner,Vegetarian,150
4025, One Pot Aloo Gobi (Recipe In Hindi),North Indian Recipes,Main Course,Eggetarian,115
4027, Karela Kadhi Recipe,Rajasthani,Side Dish,Diabetic Friendly,23
4028,Tomato Onita d Kara,Indian,Side Dish,Vegetarian,20
4030,Saffron Milk Masala Recipe,Indian,Snack,Vegetarian,30
4031,Chettinad Style Urulai Roast Recipe - Baby Potato Roast,Tamil Nadu,Lunch,Vegetarian,70
4032,Jackfruit Seed Korma Recipe,South Indian Recipes,Lunch,Vegetarian,70
4033,Chaat Masala Recipe,Indian,Vegetarian,Vegetarian,45
4034,Whole Wheat Carrot Cake Recipe,Continental,Dessert,Vegetarian,50
4035,Kodava Thalia Puttu Recipe - Steamed Rice Coconut Cake,Coorg,South Indian Breakfast,Vegetarian,40
4036, Dahi Suran Ki Sabzi (Recipe In Hindi),North Indian Recipes,Lunch,Vegetarian,70
4037,Cheesy Spinach Open Toast Recipe,Continental,Snack,Vegetarian,30
4038,Cabbage Bhurji Recipe,North Indian Recipes,North Indian Breakfast,Eggetarian,40
4041,Palak Makhana Recipe,North Indian Recipes,Dinner,No Onion No Garlic (Sattvic),150
4042, Parsi Style Scrambled Eggs with Green Peas (Recipe In Hindi),Parsi Recipes,Indian Breakfast,Eggetarian,28
4044,Penne Rigate With Minced Chicken Sauce & Cheese Recipe,Italian Recipes,Dinner,Non Vegeterian,187
4045, Chicken Seekh Kebab Recipe,Hyderabadi,Appetizer,Non Vegeterian,62
4047,Savory Ricotta Tart Recipe,Continental,Dinner,Eggetarian,172
4049, Papad Raita (Recipe In Hindi),Indian,Side Dish,Vegetarian,20
4050,Keerai Masiyal Recipe (Stir Fried Green with Mustard and Curry Leaves),South Indian Recipes,Side Dish,High Protein Vegetarian,22
4052,Quick Cauliflower Fried Rice Recipe,Indian,Lunch,Vegetarian,70
4053,Thai Grilled Pineapple Recipe,Thai,Dessert,Vegetarian,50
4054,Paneer Stuffed Bread Fritters Recipe,Indian,Snack,Vegetarian,30
4056,Cauliflower Thai Red Curry Recipe,Thai,Dinner,Vegetarian,150
4057,Gulab Jamun Bread Pudding Recipe,Indian,Dessert,Vegetarian,50
4059,Potoler Dolma Recipe (Bengali Style Stuffed Pointed Gourd Curry),Bengali Recipes,Lunch,Vegetarian,70
4061,Sukhi Urad Dal Sabzi Recipe,North Indian Recipes,Lunch,High Protein Vegetarian,77
4063,Chicken Kappa Biryani Recipe,Kerala Recipes,Lunch,Non Vegeterian,87
4064,Burnt Garlic Veg Fried Rice Recipe,Indo Chinese,Lunch,Vegetarian,70
4065,Harive Soppina Saaru Recipe (Karnataka Style Amaranth Leaves Cooked with Lentils),Karnataka,Lunch,Vegetarian,70
4066, Goan Pumpkin Sabzi (Recipe In Hindi),Goan Recipes,Lunch,Vegetarian,70
4067,Nutty Pineapple Tutti Frutti Cake Recipe (White Fruitcake),Continental,Snack,Eggetarian,34
4070,Spicy Stir Fried Broccoli Recipe,Asian,Appetizer,Diabetic Friendly,57
4071, Spinach Egg Muffins Recipe,Continental,World Breakfast,Eggetarian,46
4072,Onion-Tomato Dosa Savoury Waffles Recipe,Fusion,World Breakfast,Vegetarian,40
4078,Savoury Kordoi Recipe (Assamese Star Fruit Shaped Snack Recipe),Assamese,Snack,Vegetarian,30
4079,Sabsige Millet Pulav Recipe,Indian,Lunch,Vegetarian,70
4080,Sweet And Tangy Mango Ice-cream Recipe,Continental,Dessert,Vegetarian,50
4081,Safed Murgh Handi Recipe - Chicken In White Gravy,Indian,Side Dish,High Protein Non Vegetarian,27
4082,Kanda Kairichi Chutney Recipe - Onion & Raw Mango Chutney,Maharashtrian Recipes,Side Dish,Vegetarian,20
4084,Protein Rich Paneer And Horse Gram Soup Recipe - Kollu/ Kulith Soup,Continental,Main Course,High Protein Vegetarian,110
4085,Goan Style Podollim Recheado Com Batata Recipe (Snake Gourd Stuffed with Sweet Potato),Goan Recipes,Snack,Vegetarian,30
4089, Thandu Keerai Poriyal Recipe,South Indian Recipes,Lunch,Diabetic Friendly,80
4090,Punjabi Style Tinda Sabzi Recipe,Punjabi,Lunch,Vegetarian,70
4092,Sprouted Moong and Methi Cheela Recipe - A Healthy Breakfast,North Indian Recipes,North Indian Breakfast,Diabetic Friendly,40
4093,Veggie Chop Burger Recipe,Continental,Dinner,Vegetarian,150
4094,Lemon Parsley Quinoa Recipe,Continental,Main Course,High Protein Vegetarian,110
4095,Pumpkin Hummus Recipe,Middle Eastern,High Protein Vegetarian,High Protein Vegetarian,55
4096,Homemade Dhansak Masala Powder Recipe,Parsi Recipes,High Protein Vegetarian,High Protein Vegetarian,55
4097,Quick And Simple Egg Curry Recipe,Indian,Side Dish,Eggetarian,23
4098,Eggless Bread Omelette Recipe,Continental,World Breakfast,Vegetarian,40
4099,Barnyard Millet and Ragi Khichdi Recipe,North Indian Recipes,Dinner,Vegetarian,150
4100,Coffee Recipe With Instant Coffee Powder,Indian,Vegetarian,Vegetarian,45
4101,Turkey chutney recipe - ridge gourd chutney (recipe),South Indian Recipes,Side Dish,Vegetarian,20
4102,Manipuri Style Tan Ngang Recipe - Refined Flour/Maida Indian Puri Recipe,North East India Recipes,Lunch,Vegetarian,70
4108,Mini Onion Vada With Vengaya Sambar Recipe - Pan Fried Fritters in Tangy Lentil Curry,Tamil Nadu,South Indian Breakfast,Vegetarian,40
4109,North Kanara Sweet And Sour Raw Mango Chutney Recipe,Coastal Karnataka,Side Dish,Vegetarian,20
4110,German Pancakes with Caramelised Apples Recipe,Continental,World Breakfast,Eggetarian,46
4111,Hariyali Paneer Tikka Masala Gravy (Recipe in Hindi),North Indian Recipes,Lunch,High Protein Vegetarian,77
4112,Dhokla Sandwich With Capsicum And Paneer Recipe,North Indian Recipes,Snack,Vegetarian,30
4114,Phool Makhana Kheer Recipe - Sweetened With Jaggery,North Indian Recipes,Dessert,Vegetarian,50
4115,Healthy Kala Chana Pakora Recipe - Black Chickpea Pakora,Indian,Snack,Vegetarian,30
4116,Malnad Special Appe Midi Uppinakayi Recipe - Tender Mango Pickle,Karnataka,Side Dish,Vegetarian,20
4117,Carrot Podi Dosa Recipe,South Indian Recipes,South Indian Breakfast,Vegetarian,40
4119,Cabbage Chana Dal Sabzi - Gobi Chana Dal Recipe,North Indian Recipes,Side Dish,Diabetic Friendly,23
4120,Tallyanche Suke Recipe - Sardine Dry,Goan Recipes,Lunch,High Protein Non Vegetarian,94
4121, Tomato Onion Chutney (Recipe In Hindi),South Indian Recipes,Side Dish,Vegetarian,20
4123,South Indian Poli Recipe with Coconut (Obbattu/Bobbattu),South Indian Recipes,Main Course,Vegetarian,100
4125,Spicy Moroccan Rice With Chicken Recipe,African,Main Course,High Protein Non Vegetarian,135
4126,Moong khichdi recipe,Indian,Lunch,Vegetarian,70
4129,Pineapple Banana & Oat Smoothie Recipe,Continental,Snack,Vegetarian,30
4130,Eggless Orange and Apple Ice Cream Recipe,Continental,Dessert,Vegetarian,50
4131,Lauki Ke Gatte Recipe - Whole Wheat Bottle Gourd Dumplings,Rajasthani,Snack,Vegetarian,30
4132,Paneer Jalfrezi Recipe,North Indian Recipes,Side Dish,Vegetarian,20
4133,Soya Spinach Curry Recipe - Soya And Spinach Curry Recipe,North Indian Recipes,Side Dish,High Protein Vegetarian,22
4134,Bengali Phool Gobhir Paturi Recipe (Cauliflower & Potatoes With Poppy Seed Paste),Bengali Recipes,Lunch,Vegetarian,70
4135,Kongunadu Style Arisi Bedding Sudden Recipe,Tamil Nadu,Lunch,Vegetarian,70
4136,How To Make Homemade Rose Syrup Recipe,Indian,Lunch,Vegetarian,70
4137,Punjabi Garam Masala Powder Recipe,North Indian Recipes,Vegetarian,Vegetarian,45
4138,Moroccan Spiced Cauliflower And Almond Soup Recipe,African,Appetizer,Vegetarian,50
4142,Gutti Dondakaya Vepudu Recipe - Andhra Style Stuffed Ivy Gourds,Andhra,Side Dish,Vegetarian,20
4143,"Cherry Tomato, Cucumber, Onion Salad in Red Wine Vinaigrette Dressing Recipe",Continental,Appetizer,Vegan,57
4145,Maharashtrian Style Kolhapuri Khichdi Recipe,Maharashtrian Recipes,North Indian Breakfast,Vegetarian,35
4146,Sandesh Panna Cotta Recipe,Fusion,Dessert,Vegetarian,50
4147,Aloo Bhajit Recipe - Potato Bajji,North Indian Recipes,Snack,Vegetarian,30
4150, Tawa Paratha (Recipe in Hindi),Indian,Lunch,Vegetarian,70
4151,Shakshuka With Spinach & Feta Cheese Recipe,African,World Breakfast,Eggetarian,46
4152,Spicy Minced Chicken Keema Balls Curry Recipe,North Indian Recipes,Dinner,Non Vegeterian,187
4153,Dadpe Pohe Recipe (Maharashtrian Poha),Maharashtrian Recipes,Indian Breakfast,Vegetarian,25
4160,Garlic Chicken Cheese Balls Recipe,Continental,Appetizer,Non Vegeterian,62
4161,Nadan Tomato Curry Recipe - Kerala Style Nadan Tomato Curry Recipe,Kerala Recipes,Side Dish,Vegetarian,20
4163,Kesar Paneer Ki Kheer Recipe - Cottage Cheese Milk Pudding,North Indian Recipes,Dessert,Vegetarian,50
4165,Yellow Thai Curry Paste Recipe - Yellow Thai Curry Paste Recipe,Thai,Main Course,Vegetarian,100
4166,Aubergine And Cranberry Beans Dip Recipe,Continental,Appetizer,Vegetarian,50
4167,Microwave Oats Milk Halwa Recipe,Indian,Dessert,Vegetarian,50
4168,Kerala Style Okra Thoran Recipe - Kerala Style Vendakkai Thoran (Recipe In Hindi),Kerala Recipes,Lunch,Diabetic Friendly,80
4169,Cheesy Veg Paniyaram Recipe With Cheesy Tomato Chutney,South Indian Recipes,South Indian Breakfast,Vegetarian,40
4171,Chicken Pies Recipe,Bengali Recipes,Dessert,Vegetarian,50
4173,Spicy Indian Style Masala Frittata Recipe,Italian Recipes,World Breakfast,Eggetarian,46
4175,Melon Salsa Recipe,Continental,Appetizer,Vegetarian,50
4176, Besan Arbi Roast (Recipe In Hindi),Indian,World Breakfast,Gluten Free,48
4179,Giant Skillet Cookie Recipe,Continental,Snack,Vegetarian,30
4180, Spring Onion Pakoda Recipe,Indian,Snack,Vegetarian,30
4183,Lal Bhoplyacha Bharit Recipe (Red Pumpkin Raita),Indian,Side Dish,Vegetarian,20
4185,Gujarati Style Osaman Dal Recipe,Gujarati Recipes?,Lunch,High Protein Vegetarian,77
4186,Tomato Mozzarella Bites Recipe,Italian Recipes,Appetizer,Vegetarian,50
4189,Chettinad Pattani Kurma Recipe (Chettinad Peas Curry),Chettinad,Dinner,Vegetarian,150
4190,Mustard Mayo Baby Potato Salad Recipe,Continental,Appetizer,Vegetarian,50
4191,Low Pot Alo Ponda Recipe - Matte's Pit Paneer Pan,South Indian Recipes,Snack,Vegetarian,30
4192,Hara Bhara Kebab Recipe with Millets,North Indian Recipes,Snack,Vegetarian,30
4193,Easy Tomato And Cheese Mini Pizza Recipe,Italian Recipes,Dinner,Vegetarian,150
4195,High Protein Broccoli & Coriander Loaf Recipe,Continental,World Breakfast,High Protein Vegetarian,44
4197,Oats Pesarattu Recipe - Oatmeal & Green Gram Crepes,Andhra,South Indian Breakfast,High Protein Vegetarian,44
4198,Beetroot Chas Recipe - Spiced Beetroot Buttermilk Recipe,South Indian Recipes,Lunch,Vegetarian,70
4201,Tomato Carrot Onion Soup Recipe - Healthy Tomato Carrot Onion Soup Recipe,Indian,Dinner,Vegetarian,150
4202,Maharashtrian Ambat Goda Dal Recipe,Maharashtrian Recipes,Lunch,Vegetarian,70
4203,Boodida Gummadikaya Pachi Vadiyalu Recipe -Andhra Style Ash Gourd Fritters Recipe,Andhra,Snack,Vegetarian,30
4204,Chettinad Chicken Curry Recipe - Chettinad Chicken Surri,Chettinad,Dinner,Non Vegeterian,187
4209,Karnataka Style Badanekayi Palya Recipe - Long Brinjal In Spicy Coconut Recipe,Karnataka,Lunch,Vegetarian,70
4215,Bengali Style Cholar Dal Recipe - Bengali Cholar Dal (Recipe In Hindi),Bengali Recipes,Dinner,Vegetarian,150
